"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","industry-analyst","acquired","Harte-Hanks (2002-2017) -> Spiceworks Ziff Davis","1988-present","sars-wirft-schatten-uber-elektronische-b-bf33b6","Boston-based IT industry analyst firm"
"peter-s-kastner","Peter S. Kastner","person","industry-analyst","active","","1970s-present","sars-wirft-schatten-uber-elektronische-b-bf33b6","EVP / chief research officer / research VP; various titles 1988-2007"
"intel-corporation","Intel Corporation","company","semiconductor","active","","1968-present","sars-wirft-schatten-uber-elektronische-b-bf33b6","Leading x86 CPU manufacturer"
"hewlett-packard","Hewlett-Packard Company","company","PC-manufacturing","split","HP Inc. + Hewlett Packard Enterprise (2015)","1939-2015","sars-wirft-schatten-uber-elektronische-b-bf33b6","Original HP company"
"motorola-inc","Motorola, Inc.","company","consumer-electronics-telecom","split","Motorola Mobility + Motorola Solutions (2011)","1928-2011","sars-wirft-schatten-uber-elektronische-b-bf33b6","Schaumburg IL; split 2011"
"chartered-semiconductor","Chartered Semiconductor Manufacturing","company","semiconductor-foundry","acquired","GlobalFoundries (2010)","1987-2010","sars-wirft-schatten-uber-elektronische-b-bf33b6","Singapore foundry; merged with GlobalFoundries 2010"
"flextronics-intl","Flextronics International","company","contract-manufacturing","renamed","Flex Ltd. (2016)","1969-present","sars-wirft-schatten-uber-elektronische-b-bf33b6","Singapore-HQ electronics contract manufacturer; renamed Flex 2016"
"america-ii-electronics","America II Electronics","company","electronics-distribution","active","","1981-present","sars-wirft-schatten-uber-elektronische-b-bf33b6","St. Petersburg FL independent electronics distributor"
"avnet-inc","Avnet, Inc.","company","electronics-distribution","active","","1921-present","sars-wirft-schatten-uber-elektronische-b-bf33b6","Global electronic components distributor"
"sg-industries","SG Industries","company","electronics-distribution","active","","","sars-wirft-schatten-uber-elektronische-b-bf33b6","$20M broker, Beverly MA, per article"
"merrill-lynch","Merrill Lynch & Co.","firm","investment-bank","acquired","Bank of America (2008)","1914-2008","sars-wirft-schatten-uber-elektronische-b-bf33b6","New York investment bank; acquired by BofA 2008"
"ebn-electronic-buyers-news","EBN (Electronic Buyers News)","firm","news-media","active","","1971-present","sars-wirft-schatten-uber-elektronische-b-bf33b6","Electronic-industry supply-chain trade publication"
