"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","industry-analyst","acquired","Harte-Hanks (2002-2017) -> Spiceworks Ziff Davis","1988-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Boston-based IT industry analyst firm"
"peter-s-kastner","Peter S. Kastner","person","industry-analyst","active","","1970s-present","small-is-huge-in-pcs-these-days-blog-arc-655851","EVP / chief research officer / research VP; various titles 1988-2007"
"gateway-inc","Gateway, Inc.","company","PC-manufacturing","acquired","Acer (2007)","1985-2007","small-is-huge-in-pcs-these-days-blog-arc-655851","Sioux Falls SD / Irvine CA direct-sales PC maker; cow-spotted boxes; acquired by Acer 2007"
"hewlett-packard","Hewlett-Packard Company","company","PC-manufacturing","split","HP Inc. + Hewlett Packard Enterprise (2015)","1939-2015","small-is-huge-in-pcs-these-days-blog-arc-655851","Original HP company"
"sony-corp","Sony Corporation","company","consumer-electronics","active","","1946-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Japanese electronics; Memory Stick developer; competitor to SD standard"
"dell-computer","Dell Computer / Dell Inc.","company","PC-manufacturing","active","Dell Technologies (2016-)","1984-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Direct-sales PC maker"
"ibm","International Business Machines Corporation","company","IT-hardware-software-services","active","","1911-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Mainframe and systems vendor"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Redmond WA software company"
"intel-corporation","Intel Corporation","company","semiconductor","active","","1968-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Leading x86 CPU manufacturer"
"amd","Advanced Micro Devices, Inc.","company","semiconductor","active","","1969-present","small-is-huge-in-pcs-these-days-blog-arc-655851","x86 and more recently GPU competitor to Intel"
"apple-computer","Apple Computer, Inc. / Apple Inc.","company","consumer-electronics","renamed","Apple Inc. (2007)","1976-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Cupertino CA PC and consumer-electronics maker; dropped ""Computer"" from name 2007"
"shuttle-computer","Shuttle Computer Group Inc.","company","PC-manufacturing","active","","1983-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Taiwan-based small-form-factor PC maker; pioneered XPC barebones mini-PCs 2001"
"gartner-inc","Gartner, Inc.","firm","industry-analyst","active","","1979-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Stamford CT IT research and advisory firm"
"polywell-computers","Polywell Computers, Inc.","company","PC-manufacturing","active","","1987-present","small-is-huge-in-pcs-these-days-blog-arc-655851","South San Francisco CA boutique PC maker; gaming and small-form workstations; Qbox series"
"hy-tek-mfg","Hy-Tek Manufacturing Co.","company","PC-manufacturing","unknown [REVIEW]","","","small-is-huge-in-pcs-these-days-blog-arc-655851","Reno NV all-in-one flat-panel-PC maker; Tek Panel 300 series $6,500-$9,000 (2004)"
"roger-kay-analyst","Roger Kay","person","industry-analyst","active","","1990s-present","small-is-huge-in-pcs-these-days-blog-arc-655851","Endpoint Technologies Associates analyst; ex-Gartner (quoted here as Gartner analyst)"
"reuters-wire","Reuters News Agency","firm","news-media","acquired","Thomson Reuters (2008) -> now owned by Refinitiv/LSEG","1851-present","small-is-huge-in-pcs-these-days-blog-arc-655851","International news wire service"
