char_offset,trigger_labels,sentence
1080,best_in_class;percentage_stat,There are four characteristics of the top-performing 20% of the companies — the Best in Class — in our survey:
1195,best_in_class,The Best in Class are most likely (33%) to have more than two years experience with SOA technology;
1299,best_in_class;percentage_stat,"68% of the Best in Class are achieving positive ROI on their SOA investments and are seeing lower application development costs under SOA, while 77% of the overall survey has yet to see an SOA payback achieved;"
1514,best_in_class,The Best in Class companies have implemented design-time governance and re-use policy to minimize lifecycle service costs compared to 26% overall.
1661,best_in_class,Close to half of the Best in Class have set minimizing application software lifecycle costs as a measurable management objective.
1795,best_in_class;percentage_stat,"More than 80% of the Best in Class have implemented an automated solution to SOA operations and governance, typically with third-party software."
3264,best_in_class,The Best in Class have it now and the Industry Average company is in the planning stage.
4093,best_in_class,Technology for automating management and governance is proving its worth at Best in Class companies.
4574,best_in_class,The Best in Class companies who are already using automated SOA management and governance are encouraged to take the next step in operational excellence by concentrating on processes to minimize costs across the application lifecycle.
7790,figure_reference,Figure 1: SOA Application Integration Life-Cycle Stumbling Blocks .....................2 Figure 2: Business Drivers for Investments in SOA Management and Governance ....................................................................5 Figure 3: Length of Time Since First SOA Services Were Deployed....................7 Figure 4: IT Drivers for SOA Management and Governance................................8 Figure 5: SOA Governance Drivers by Industry .................................................12
9674,percentage_stat,"berdeen research in 2006 watched the 90% of Global 10,000 organizations that have embarked on SOA journeys."
9782,percentage_stat,The vast majority of IT executives and other A senior executives are convinced that a service-oriented architecture (SOA) is the right technology path to improve IT agility and lower the 40% of IT budget dedicated to application integration.
10918,figure_reference,"In fact, between a third and half of the 950 companies we surveyed in 2006 are having serious difficulties getting their SOA-enabled applications into stable deployment (Figure 1)."
12237,figure_reference;percentage_stat,"Based on Figure 1 and the 50% of companies that are not deploying SOA infrastructure software (i.e., SOA Lite), **a significant minority of the Global 10,000 will encounter ongoing SOA operational issues and vexing development problems, which, in turn, will reduce the potential double-digit savings in application lifecycle costs under SOA** ."
12670,figure_reference,**Figure 1: SOA Application Integration Life-Cycle Stumbling Blocks**
20384,best_in_class;percentage_stat,Our recent survey on building better composite applications revealed that 75% of Best in Class organizations are unhappy with their application development tools and plan to supplement or replace this technology in the next six months.
20674,figure_reference,The most important driver in this survey is developing new business capabilities or products and services for the business (Figure 2).
20809,best_in_class,"Best in Class companies are focusing more on managing IT complexity, which is increasing with the growing use of web services and SOA."
20946,figure_reference,**Figure 2: Business Drivers for Investments in SOA Management and Governance**
22298,figure_reference,here is a high correlation in this survey between the overall maturity ranking in Aberdeen’s framework and experience with SOA technology (Figure 3).
22448,best_in_class;percentage_stat,"More T than half of the Best in Class companies in our survey have at least 12 months of production experience with deployed applications under an SOA, while only 30% of the whole survey had this experience."
22656,best_in_class;percentage_stat,"But 20% of the Industry Average and Laggard companies in this survey had only six months or less of experience, twice as many as the Best in Class."
23572,figure_reference;percentage_stat,For 45% of the survey pool – and 46% of supply chain-oriented organizations -- the top driver for SOA management and governance is developing new business capabilities or new products and services (Figure 4).
23781,best_in_class,"Management of IT complexity is second at 42% overall, yet a more apparent pressure for the Best in Class at 44%."
23894,best_in_class,"This difference in priority is caused by the greater experience levels of the Best in Class. “The first application-services server was a piece of operations cake”, a consumer products goods manufacturer told us. “But by the fifth server, we really did not know what was going on inside at any given moment, and that got scary quickly.”"
24409,figure_reference,**Figure 3: Length of Time Since First SOA Services Were Deployed**
25060,best_in_class,Twice as many survey respondents cite this as a top challenge over Best in Class companies.
25357,best_in_class,"SOA security is the second challenge, with about the same numbers of Best in Class and all other respondents citing the differences and complexity that a loosely coupled, behind-the-firewall SOA environment presents to IT operations."
25776,percentage_stat,"In response to these challenges, the **top response, chosen by 45% of our survey, is to revise application lifecycle processes and responsibilities.** This challenge is best illustrated by an automotive parts manufacturer who told us, _“With SOA, we were forced to rewrite whole chapters of our IT processes manual…and that’s not a bad thing”_ ."
26122,percentage_stat,"Second, 41% of our survey have en-"
26383,best_in_class;percentage_stat,But only 25% of the Best in Class companies are taking this route since they tend to be more experienced.
26670,figure_reference,**Figure 4: IT Drivers for SOA Management and Governance**
28650,best_in_class,"Best in Class companies achieve performance excellence in SOA operations and governance, partly through the use of SOA-specific technology."
28959,best_in_class,"s shown in Table 2, survey respondents fell into one of three categories – Laggard, Industry Average, or Best in Class — based on their characteristics in four A key categories: (1) process (investment/payback metrics, SOA-specific processes and governance); (2) organization (SOA IT topology, governance philosophy); (3) knowledge (visibility into operations, governance, and lifecycle cost data); and (4) technology (scope of SOA management and governance automation, productivity tools)."
29452,best_in_class,"In each of these categories, survey results show that firms exhibiting Best in Class SOA operations and governance characteristics also enjoy Best in Class application lifecycle performance and payback on their companies’ SOA investments (Table 2)."
31717,best_in_class;percentage_stat;dollar_stat,"Some 40% of the Best in Class companies earned a payback of more than $1 million on their SOA investments, compared to 17% of the survey overall."
31951,best_in_class,## **Technology Provides Leverage to the Best-in-Class Companies**
32020,best_in_class,"Best in Class firms in our survey are employing SOA operations management software to automate the SOA-specific services they’re deploying, as well as SOA governance software, typically an upgrade from an existing automated IT governance software package’s processes."
32288,best_in_class,"The Best in Class companies are focusing on the entire life of an application “service”, from design through programming, testing, deployment, and into maintenance."
32455,best_in_class,"We asked, “How has SOA development in the past year changed the IT costs of the application/service lifecycle?” As Table 3 clearly shows, the automation investments by the **Best in Class resulted in** _**decreases**_ **in development costs in 2006 while the majority of Industry Average and Laggard companies are actually seeing their development costs** _**increase**_ **.**"
32834,percentage_stat,"Importantly, 58% of Laggard firms are _not taking action_ to treat SOA operations, governance, and the resulting lifecycle costs as anything different from past processes."
35958,figure_reference,Not all industries have the same view on the importance or management reason for a formal IT governance policy (Figure 5).
36642,best_in_class,"The Best in Class companies are most likely to have existing IT governance policies in place, updated to reflect the necessities of an SOA environment; and"
37141,figure_reference,**Figure 5: SOA Governance Drivers by Industry**
38401,best_in_class,"Since Best in Class companies are also the most experienced, proactively utilize training and IT services to speed up the learning curve."
38639,best_in_class,"Best in Class companies in this survey are most likely to have C well-defined processes for managing and governing SOA design and operations, including the use of application lifecycle management software and IT governance software to automate the process."
39325,best_in_class,"Based on the information in Chapters Two and Three, readers should determine whether their organizations fall into the “Laggard”, “Industry Average,” or “Best in Class” categories."
39746,best_in_class,moving your organization along the maturity path to Best in Class.
39888,best_in_class,## **Best in Class Next Steps**
40257,best_in_class,Even many Best in Class firms have yet to complete this task.
45748,percentage_stat,"These represented 52% of the sample, of which 53% were manufacturing."
45818,percentage_stat,"Services industries including banking, brokerage, insurance, and health care represented 40% of the survey."
45926,percentage_stat,Public sector (government and education) represented 8% of the survey.
46191,percentage_stat;dollar_stat,"_**Company size** :_ About 46% of respondents were from large enterprises (annual revenues above US$1 billion, including 27% over US$5 billion); 38% were from midsize enterprises (annual revenues between $50 million and $1 billion); and 28% of respondents were from small businesses (annual revenues of $50 million or less)."
