"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","industry-analyst","acquired","Harte-Hanks (2002-2017) -> Spiceworks Ziff Davis","1988-present","tablet-offers-high-risk-high-reward-port-7cf9f8","Boston-based IT industry analyst firm"
"peter-s-kastner","Peter S. Kastner","person","industry-analyst","active","","1970s-present","tablet-offers-high-risk-high-reward-port-7cf9f8","EVP / chief research officer / research VP; various titles 1988-2007"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","tablet-offers-high-risk-high-reward-port-7cf9f8","Redmond WA software company"
"informationweek","InformationWeek / TechWeb","firm","news-media","active","","1985-present","tablet-offers-high-risk-high-reward-port-7cf9f8","IT business trade publication; Techweb digital arm"
"apple-computer","Apple Computer, Inc. / Apple Inc.","company","consumer-electronics","renamed","Apple Inc. (2007)","1976-present","tablet-offers-high-risk-high-reward-port-7cf9f8","Cupertino CA PC and consumer-electronics maker; dropped ""Computer"" from name 2007"
"bill-gates","William H. Gates III","person","executive","active","","1975-present","tablet-offers-high-risk-high-reward-port-7cf9f8","Microsoft co-founder; chairman/CEO; personally championed Tablet PC as Microsoft chairman"
"aaron-ricadela-journalist","Aaron Ricadela","person","journalist","active","","1990s-present","tablet-offers-high-risk-high-reward-port-7cf9f8","InformationWeek, BusinessWeek, Bloomberg reporter covering enterprise tech"
"acer-inc","Acer Incorporated","company","PC-manufacturing","active","","1976-present","tablet-offers-high-risk-high-reward-port-7cf9f8","Taiwan-based PC maker; early Tablet PC launch partner; later acquired Gateway 2007"
"compaq-computer","Compaq Computer Corporation","company","PC-manufacturing","acquired","Hewlett-Packard (2002)","1982-2002","tablet-offers-high-risk-high-reward-port-7cf9f8","Houston TX PC/server maker; acquired by HP May 2002 for $25B"
"fujitsu-ltd","Fujitsu Limited","company","IT-systems","active","","1935-present","tablet-offers-high-risk-high-reward-port-7cf9f8","Japanese IT/PC/server conglomerate; Tablet PC and Pen Computing early leader"
"toshiba-corp","Toshiba Corporation","company","consumer-electronics","active","","1939-present","tablet-offers-high-risk-high-reward-port-7cf9f8","Japanese electronics maker; laptop/notebook division divested to Dynabook/Sharp 2018"
