"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","industry-analyst","acquired","Harte-Hanks (2002-2017) -> Spiceworks Ziff Davis","1988-present","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","Boston-based IT industry analyst firm"
"peter-s-kastner","Peter S. Kastner","person","industry-analyst","active","","1970s-present","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","EVP / chief research officer / research VP; various titles 1988-2007"
"dell-computer","Dell Computer / Dell Inc.","company","PC-manufacturing","active","Dell Technologies (2016-)","1984-present","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","Direct-sales PC maker"
"ibm","International Business Machines Corporation","company","IT-hardware-software-services","active","","1911-present","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","Mainframe and systems vendor"
"eds-corp","Electronic Data Systems (EDS)","company","IT-services-outsourcing","acquired","HP (2008)","1962-2008","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","Plano TX IT outsourcing giant founded by Ross Perot"
"businessweek-mag","BusinessWeek / BW Online / Bloomberg Businessweek","firm","news-media","renamed","Bloomberg Businessweek (2009)","1929-present","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","McGraw-Hill business magazine 1929-2009; acquired by Bloomberg LP 2009 for ~$5M"
"alex-salkever-journalist","Alex Salkever","person","journalist","active","","1990s-present","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","BusinessWeek Online tech writer 1999-2005; later author/startup founder; Harvard Business Review"
"merrill-lynch","Merrill Lynch & Co.","company","investment-bank","acquired","Bank of America (2009)","1914-2009","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","New York-based investment bank; acquired by Bank of America during 2008 financial crisis"
"peoplesoft-inc","PeopleSoft, Inc.","company","enterprise-software","acquired","Oracle (2005)","1987-2005","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","HRMS/ERP software vendor; acquired by Oracle for $10.3B after 18-month hostile takeover"
"sap-ag","SAP AG / SAP SE","company","enterprise-software","renamed","SAP SE (2014)","1972-present","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","Walldorf Germany ERP/business-software leader; renamed from AG to SE 2014"
"siebel-systems","Siebel Systems, Inc.","company","enterprise-software","acquired","Oracle (2006)","1993-2006","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","San Mateo CA CRM software leader; acquired by Oracle for $5.85B"
"nortel-networks","Nortel Networks Corporation","company","telecom-equipment","shut-down","Bankrupt (2009) -> assets sold to Ericsson/Ciena/Avaya/Genband","1895-2009","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","Canadian telecom-equipment giant; bankrupt 2009"
"lucent-tech","Lucent Technologies Inc.","company","telecom-equipment","acquired","Alcatel-Lucent (2006) -> Nokia (2016)","1996-2006","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","Murray Hill NJ AT&T Bell Labs spin-off; acquired by Alcatel 2006; further to Nokia 2016"
"cisco-systems","Cisco Systems, Inc.","company","networking","active","","1984-present","tech-s-best-hope-pockets-of-prosperity-2-17d6cf","San Jose CA dominant enterprise networking vendor"
