"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-001","technology-news-trends-desktop-pcs-decli-7993aa","peter-s-kastner","notebook-pc","expert-opinion","2004","Consumer+corporate notebooks flying off shelves","with consumer and corporate notebook computers 'flying off the shelves,' the mobile segment of the PC industry has become the fastest growing -- prompting PC producers, chipmakers and software vendors to focus on the market.","high","analyst-commentary","p1","Kastner direct quote to TechNewsWorld"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-002","technology-news-trends-desktop-pcs-decli-7993aa","meta-group","desktop-pc","viability-prediction","2006","Desktop share of corporate primary devices","by 2006, just 45 percent of corporate users will be primarily dependent on a desktop machine","high","analyst-forecast","p1","Meta Group forecast; actual ~50% by 2008"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-003","technology-news-trends-desktop-pcs-decli-7993aa","meta-group","notebook-pc","viability-prediction","2006","Notebook+tablet share of corporate primary devices","40 percent of users will count a notebook or tablet PC as their primary device","high","analyst-forecast","p1","Meta Group forecast"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-004","technology-news-trends-desktop-pcs-decli-7993aa","meta-group","thin-client","viability-prediction","2006","Thin-client/appliance share","15 percent will be using thin clients or other information appliances, such as handhelds","high","analyst-forecast","p1","Meta Group forecast — overshot slightly; thin clients stayed niche"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-005","technology-news-trends-desktop-pcs-decli-7993aa","meta-group","","viability-prediction","2007","Average user interacts with 4+ computing devices","By 2007, the average user will interact regularly with at least four distinct computing devices -- a personal home PC, smart digital entertainment system, corporate computer and mobile information device","high","analyst-forecast","p1","Kleynhans quote — validated and exceeded; 2024 avg is 6+"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-006","technology-news-trends-desktop-pcs-decli-7993aa","meta-group","","viability-prediction","2007","Multi-device trend forces info-sync/roaming software","This multiplicity of devices will force software vendors to focus on information synchronization as well as 'thinning' or 'roaming' applications that enable users to access their information independent of the device they are using.","high","analyst-forecast","p1","Kleynhans prediction; validated by iCloud (2011), OneDrive, Dropbox, Google Drive"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-007","technology-news-trends-desktop-pcs-decli-7993aa","idc","notebook-pc","viability-prediction","2007","US portable share of PC shipments","In the U.S., we're forecasting portables to compose 47 percent of all PC shipments in 2007","high","analyst-forecast","p1","Promisel IDC forecast — notebooks actually hit ~50% US by 2008"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-008","technology-news-trends-desktop-pcs-decli-7993aa","idc","notebook-pc","market-data","2003","Record Q4 2003 PC shipments led by notebooks","worldwide PC shipments hit record numbers last quarter, driven by notebooks","high","analyst-research","p1","IDC Q4 2003 data"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-009","technology-news-trends-desktop-pcs-decli-7993aa","meta-group","tablet-pc-ms","viability-prediction","2006","Tablet form factor to go mainstream by 2006","trends will help move the tablet form factor into the mainstream by 2006, when one-third of all corporate notebooks will include tablet capabilities.","medium","analyst-forecast","p1","Meta Group forecast — incorrect; tablet PC languished until iPad-driven convertibles emerged 2012-2015"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-010","technology-news-trends-desktop-pcs-decli-7993aa","idc","notebook-pc","actual-outcome","2008","Notebooks overtook desktops globally","Global notebook shipments exceeded desktop shipments for the first time in 2008 per IDC data (Q3 2008 was inflection quarter)","verified","historical-record","p1","Validates Kastner 'flying off shelves' 2004 assessment"
"technology-news-trends-desktop-pcs-decli-7993aa-OBS-011","technology-news-trends-desktop-pcs-decli-7993aa","meta-group","notebook-pc","actual-outcome","2010","Notebooks reach 70%+ of PC shipments","By 2010, notebooks reached 70%+ of all PC shipments globally per IDC/Gartner tracking","verified","historical-record","p1","Meta Group 2004 prediction exceeded on pace"
