"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"apple-inc","Apple Inc.","company","consumer-electronics","active","","1976-present","tiger-responds-security-warnings-eweek-b-95c721","Released Mac OS X 10.4 Tiger April 29, 2005"
"vericours","Vericours Inc.","company","IT-research","unknown [REVIEW]","","early-2000s","tiger-responds-security-warnings-eweek-b-95c721","Kastner's post-Aberdeen consulting affiliation; small research firm"
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1980s-present","tiger-responds-security-warnings-eweek-b-95c721","Cited here as Vericours Inc. director"
"frost-sullivan","Frost & Sullivan","firm","business-research","active","","1961-present","tiger-responds-security-warnings-eweek-b-95c721","Rufus Connell, research director for IT"
"rufus-connell-frost","Rufus Connell","person","IT-analyst","[DEFERRED]","","2000s-present","tiger-responds-security-warnings-eweek-b-95c721","Research director for information technology at Frost & Sullivan"
"symantec-corp","Symantec Corporation","company","security-software","acquired","Broadcom (enterprise) + NortonLifeLock (consumer)","1982-2019","tiger-responds-security-warnings-eweek-b-95c721","Publisher of Internet Security Threat Report cited by Kastner"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","tiger-responds-security-warnings-eweek-b-95c721","Described as ~97% market share; primary attack target"
"morgan-stanley","Morgan Stanley","firm","financial-services","active","","1935-present","tiger-responds-security-warnings-eweek-b-95c721","Analysts predicted Apple could double market share by end of 2005"
"sophos-plc","Sophos Plc.","company","security-software","acquired","Thoma Bravo 2020","1985-present","tiger-responds-security-warnings-eweek-b-95c721","Discovered Opener/Renepo, first Mac OS X malware, in 2004"
"ian-betteridge-eweek","Ian Betteridge","person","tech-journalism","active","","1990s-present","tiger-responds-security-warnings-eweek-b-95c721","eWEEK journalist (also Betteridge's Law author)"
"eweek","eWEEK","company","tech-media","active","acquired by QuinStreet 2012, now TechnologyAdvice","1984-present","tiger-responds-security-warnings-eweek-b-95c721","Ziff Davis weekly at time of publication"
