"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"transmeta-crusoe-tm5700","Transmeta Crusoe TM5700","platform","Transmeta","2004-2005","emerging","legacy-discontinued","transmeta-crusoe-tm5700-tm5900-computerw-455262","256KB L2 cache; launched this date"
"transmeta-crusoe-tm5900","Transmeta Crusoe TM5900","platform","Transmeta","2004-2005","emerging","legacy-discontinued","transmeta-crusoe-tm5700-tm5900-computerw-455262","512KB L2 cache; launched this date"
"transmeta-crusoe-tm5800","Transmeta Crusoe TM5800","platform","Transmeta","2002-2005","mature","legacy-discontinued","transmeta-crusoe-tm5700-tm5900-computerw-455262","Notebook chip being superseded by TM5700/5900"
"code-morphing-software","Transmeta Code Morphing Software","framework","Transmeta","2000-2009","mature","legacy-discontinued","transmeta-crusoe-tm5700-tm5900-computerw-455262","x86 binary translation layer underlying all Crusoe processors"
"x86-compatible-low-power","x86-compatible low-power processor category","platform","Transmeta/Via/Intel/AMD","2000-present","emerging","mature","transmeta-crusoe-tm5700-tm5900-computerw-455262","Transmeta pioneer; Intel Atom 2008 commodified"
"set-top-box-embedded","Set-top box / embedded computing","platform","multiple","1990s-present","mature","mature","transmeta-crusoe-tm5700-tm5900-computerw-455262","Target market pivot for TM5700/5900"
"thin-client-computing","Thin client computing","platform","Wyse/HP/Citrix","1995-present","mature","mature","transmeta-crusoe-tm5700-tm5900-computerw-455262","Target market for smaller Crusoe"
"blade-server-2004","Blade server (2004-era)","platform","IBM/HP/Dell","2001-present","emerging","mature","transmeta-crusoe-tm5700-tm5900-computerw-455262","Target market for small-form-factor low-heat x86"
"ddr-sdram-64bit","64-bit DDR SDRAM memory controller","platform","industry","2000-present","current","mature","transmeta-crusoe-tm5700-tm5900-computerw-455262","Integrated in TM5700/5900"
"pci-bus-32bit","32-bit PCI controller","protocol","PCI-SIG","1993-2010","mature","legacy-replaced-by-PCIe","transmeta-crusoe-tm5700-tm5900-computerw-455262","Integrated in TM5700/5900"
