"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","IT-market-research","[DEFERRED]","[DEFERRED]","1988-2007","cnbc-sars-electronics-supply-chain-impact-92deff","Kastner's employer at time of broadcast; he is CRO"
"cnbc","CNBC","company","broadcast-media","[DEFERRED]","[DEFERRED]","1989-","cnbc-sars-electronics-supply-chain-impact-92deff","Broadcaster of source segment (Morning Call program)"
"rbc","RBC (Royal Bank of Canada)","firm","financial-services","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Equity research arm cited cutting PC/notebook demand projections"
"sony","Sony Corporation","company","consumer-electronics","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named as potentially-affected electronics firm"
"nec","NEC Corporation","company","semiconductors","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named as potentially-affected semiconductor firm"
"philips","Royal Philips Electronics","company","consumer-electronics","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named as potentially-affected electronics firm"
"oki-electric","Oki Electric","company","semiconductors","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named as potentially-affected semiconductor firm; [cache-fix v1: id oki -> oki-electric]"
"elpida-memory","Elpida Memory","company","semiconductors","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named in transcript as 'Ellipta' — phonetic transcription of Elpida Memory; [REVIEW] confirm; [cache-fix v1: id elpida -> elpida-memory]"
"infineon","Infineon Technologies","company","semiconductors","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named as potentially-affected semiconductor firm"
"broadcom","Broadcom Corporation","company","semiconductors","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named as potentially-affected semiconductor firm"
"cirrus-logic","Cirrus Logic","company","semiconductors","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named in transcript as 'Sirius Logic' — phonetic transcription; [REVIEW] confirm Cirrus Logic"
"conexant","Conexant Systems","company","semiconductors","[DEFERRED]","[DEFERRED]","[DEFERRED]","cnbc-sars-electronics-supply-chain-impact-92deff","Named in transcript as 'Connexant' — phonetic transcription; [REVIEW] confirm Conexant"
