"study_id","old_prescience","new_prescience","n_total_obs","n_prefilter","n_used","mean","distribution","new_rationale"
"08011974-195886","[DEFERRED]","medium","16","0","16","2.4375","5x0, 1x2, 4x3, 5x4, 1x5","Pass C cloud rollup (rule A, mean=2.44 over 16 obs; distribution: 5x0, 1x2, 4x3, 5x4, 1x5). 0 additional obs were prefiltered as non-forward-looking."
"09010002-18ee8a","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"09010004-25b35c","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"09010005-d36601","[DEFERRED]","medium","4","0","4","2.2500","1x0, 1x1, 2x4","Pass C cloud rollup (rule A, mean=2.25 over 4 obs; distribution: 1x0, 1x1, 2x4). 0 additional obs were prefiltered as non-forward-looking."
"09010006-f43488","[DEFERRED]","high","2","1","1","4.0000","1x4","Pass C cloud rollup (rule A, mean=4.00 over 1 obs; distribution: 1x4). 1 additional obs were prefiltered as non-forward-looking."
"09010007-2a8be4","[DEFERRED]","low","2","0","2","1.5000","1x0, 1x3","Pass C cloud rollup (rule A, mean=1.50 over 2 obs; distribution: 1x0, 1x3). 0 additional obs were prefiltered as non-forward-looking."
"09010008-931106","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"10991290-4e6131","[DEFERRED]","medium","9","3","6","2.3333","3x0, 1x4, 2x5","Pass C cloud rollup (rule A, mean=2.33 over 6 obs; distribution: 3x0, 1x4, 2x5). 3 additional obs were prefiltered as non-forward-looking."
"1996-electronic-commerce-06b0b5","[DEFERRED]","low","1","0","1","0.0000","1x0","Pass C cloud rollup (rule A, mean=0.00 over 1 obs; distribution: 1x0). 0 additional obs were prefiltered as non-forward-looking."
"1998-software-ag-insurance-74c710","[DEFERRED]","low","2","0","2","1.5000","1x0, 1x3","Pass C cloud rollup (rule A, mean=1.50 over 2 obs; distribution: 1x0, 1x3). 0 additional obs were prefiltered as non-forward-looking."
"1q05-dtp-best-practices-telecom012705a-0e3ad6","[DEFERRED]","medium","2","1","1","3.0000","1x3","Pass C cloud rollup (rule A, mean=3.00 over 1 obs; distribution: 1x3). 1 additional obs were prefiltered as non-forward-looking."
